"","biomass"
"1",105174.73397346
"2",54198.7248284128
"3",34028.0869046417
"4",20558.0072911384
"5",48891.3120472332
"6",21637.1247798756
"7",106239.980231743
"8",26660.188281374
"9",23386.8550272236
"10",46907.8446014738
"11",19822.6817260503
"12",20481.4251532089
"13",44199.2183112389
"14",124150.615293215
"15",87840.2607553565
"16",49821.2831327118
"17",99292.8735269072
"18",77037.6268642257
"19",43905.7730237938
"20",61607.2837642873
"21",38361.4648402481
"22",147812.994091485
"23",128470.284318795
"24",81737.3071324869
"25",83106.8213257766
"26",60022.0255635495
"27",37308.1968100669
"28",102838.206364958
"29",96024.4806472398
"30",115874.405518856
"31",130500.564810212
"32",208350.479585291
"33",354614.052733647
"34",519897.925141558
"35",716542.761924803
"36",232098.339204947
"37",305015.893927595
"38",238325.955752469
"39",729924.114954864
"40",150021.198930889
"41",494274.194100349
"42",431818.82255475
"43",621266.377546742
"44",501960.365598243
"45",524816.692192947
"46",941584.153628768
"47",296577.597759209
"48",373332.785374057
"49",447515.878683811
"50",470240.577640505
"51",454426.815223934
"52",147500.768212709
"53",227695.907946819
"54",155441.36329733
"55",495148.745448568
"56",464373.867761282
"57",1044577.93550796
"58",5045269.63790464
"59",2189964.9170556
"60",2685857.66572601
"61",2660037.67132558
"62",575672.695237459
"63",292411.552411939
"64",850771.952248807
"65",471882.918989175
"66",583869.613360475
"67",759527.007001905
"68",901038.939899465
"69",664242.583675639
"70",1056422.82840639
"71",1066483.05859255
"72",862967.600386829
"73",932349.163305251
"74",1121371.91539202
"75",1173429.7562626
"76",135378.763373012
"77",183159.257289267
"78",75194.0507350607
"79",63781.4357061239
"80",55819.1754295035
"81",31685.9170932247
"82",14408.0720394885
"83",18736.3797070443
"84",35576.4876180305
"85",52899.6905289849
"86",127333.495845442
"87",36282.5922820319
"88",132580.47191999
"89",112071.897974949
"90",89379.8065631192
"91",147236.617647532
"92",134867.408393831
"93",58286.7829744437
"94",45999.9737159649
"95",123223.27776316
"96",26556.7085047728
"97",61912.5558397032
"98",565440.954582612
"99",36187.282259282
"100",158404.276212108
"101",165900.360842421
"102",98289.089370813
"103",73946.6892096357
"104",74448.442656396
"105",27990.042735964
"106",46068.1868601534
"107",28389.2227568046
"108",139529.609804158
"109",51529.7319157477
"110",204474.095304353
"111",84067.0586988578
"112",307565.896722731
"113",105862.190300086
"114",133442.521396582
"115",259040.450785916
"116",122078.276741637
"117",109845.071374809
"118",45983.1536214313
"119",259353.424010463
"120",49577.3023605568
"121",164363.041640549
"122",423287.302093018
"123",95938.148870949
"124",125161.800728919
"125",227658.708203024
"126",133501.845701282
"127",24932.3777861632
"128",86220.3198032458
"129",147302.382155146
"130",106884.186615936
"131",80963.4357695672
"132",126642.697085788
"133",73022.2544313428
"134",312679.00021468
"135",122767.748224881
"136",188784.143065045
"137",98358.2076402216
"138",38447.2394983715
"139",77448.9348935514
"140",53983.4366366625
"141",77881.9892024555
"142",342005.096298352
"143",137733.233446297
"144",87063.0478031586
"145",43550.6333389218
"146",101777.640413153
"147",41008.4449199197
"148",5959.45292015673
"149",5065.03533330223
"150",25822.3584293028
"151",18831.4710979151
"152",6939.77294077035
"153",13788.0533373738
"154",12669.0438781073
"155",39202.8493993138
"156",44497.4665977195
"157",52708.5797782493
"158",82999.5815745943
"159",18297.0968172387
"160",74698.3343622901
"161",70632.97896287
"162",28434.6369216642
"163",20858.0081050792
"164",17181.6737915854
"165",19502.5213815121
"166",29764.7461262607
"167",33219.8145472944
"168",95883.3584577392
"169",57627.953608117
"170",74749.3160254036
"171",28361.9224399895
"172",55478.7862860219
"173",28793.5934746407
"174",69316.4141892837
"175",17802.105442809
"176",20361.6981059275
"177",95607.1550306605
"178",28914.3591393188
"179",41941.9161396734
"180",16919.0281803725
"181",23969.5743637725
"182",35447.6483202109
"183",11158.5204180701
"184",15204.0831098674
"185",23903.804392256
"186",60089.6062722187
"187",19003.6587856249
"188",10928.1777906623
"189",8603.19990192381
"190",18398.9607806279
"191",30021.0222186523
"192",10270.8056934909
"193",24190.2973508612
"194",32669.4126546559
"195",14173.9743165653
"196",6472.18987773433
"197",16333.9479895595
"198",76494.9511028539
"199",17118.5549038483
"200",34291.3038973661
"201",23564.2714924147
"202",54191.3435062487
"203",66550.9338316582
"204",35049.0039758285
"205",80341.7316779538
"206",38275.4058417261
"207",48053.6059211932
"208",33797.1216288087
"209",507367.876890796
"210",961017.374756638
"211",515483.666537429
"212",329631.193943054
"213",175434.035349144
"214",356596.538243679
"215",626251.482121962
"216",1176816.14330144
"217",413237.282885462
"218",358272.113518849
"219",566793.937528116
"220",306663.7295388
"221",15588.590098231
"222",46269.4153107887
"223",124636.562070056
"224",257213.232798265
"225",20771.6381337208
"226",50638.9523500304
"227",161863.296095149
"228",22544.6099304766
"229",17901.7412727844
"230",87386.5656970458
"231",18135.4705306067
"232",38215.2893372828
"233",62753.8296146622
"234",8268.04586259274
"235",353823.743058299
"236",396700.9394318
"237",381590.808087498
"238",353193.184160387
"239",426908.344323828
"240",265109.778271648
"241",94020.4423784537
"242",152603.743215943
"243",90618.0382830207
"244",102134.361115576
"245",492356.047210008
"246",24814.0561669819
"247",253975.873782427
"248",131479.677858446
"249",175739.987848038
"250",40831.9625595029
"251",82688.9496820615
"252",55317.5117246489
"253",91652.1891944909
"254",114260.033880904
"255",27428.9129874306
"256",38983.6002275239
"257",643047.233871024
"258",659780.336255131
"259",814327.350623254
"260",851835.690738645
"261",1252237.95277691
"262",1944256.47000724
"263",344373.897967636
"264",388136.573152676
"265",481050.523244633
"266",132591.916844067
"267",216333.027185447
"268",135342.602397007
"269",229056.520062518
"270",514207.39382755
"271",461374.168619288
"272",280641.943146595
"273",39463.7676908865
"274",344407.821043236
"275",1677002.54560241
"276",354988.045263334
"277",420083.10770842
"278",164026.994739215
"279",284218.697048273
"280",190787.621312272
"281",1026577.6242198
"282",96244.7195758525
"283",60176.8259300197
"284",229531.19702649
"285",228272.011659079
"286",314261.620943033
"287",87658.6562567241
"288",228996.81619674
"289",594072.467774151
"290",338128.399198525
"291",1705876.55239006
"292",1351000.21561416
"293",1002835.38507877
"294",1085698.70940763
"295",1436536.36969883
"296",1277398.84286155
"297",314114.597901476
"298",944647.53291553
"299",491492.727142606
"300",190603.445202071
"301",744950.906897994
"302",979151.149192376
"303",615789.278266792
"304",730520.20569065
"305",1636928.2769878
"306",21233.6325513672
"307",326956.687521638
"308",2350058.71656816
"309",1203415.71670682
"310",179816.126665688
"311",207739.968824669
"312",166007.627199192
"313",427719.825014028
"314",263186.080755863
"315",396749.481950335
"316",444948.16447693
"317",130118.177823513
"318",101719.260134974
"319",472001.437781255
"320",30726.2116503577
"321",63359.1794177812
"322",47811.2113180094
"323",13222.1535320168
"324",31613.1245086687
"325",171239.637460897
"326",97005.4237159428
"327",107852.042148066
"328",40017.3202364023
"329",93778.0719998367
"330",102334.011126262
"331",82545.1556628742
"332",86809.9505210952
"333",105669.873540279
"334",87678.3356543848
"335",308685.395247116
"336",43068.1954512984
"337",69687.8434414609
"338",57561.1642605092
"339",30684.1913509337
"340",21497.5800688602
"341",56641.932302254
"342",40897.1420893578
"343",40075.1668921767
"344",91852.0375420805
"345",73093.9793778357
"346",107245.521860043
"347",256827.154916355
"348",118100.614128369
"349",104033.310961832
"350",42887.5029099432
"351",50984.9662599103
"352",34815.5280740249
"353",19358.2726948228
"354",9346.60846380332
"355",35262.3147190421
"356",124471.681332934
"357",213765.554022915
"358",180826.880604666
"359",75398.1646023913
"360",58197.3468074093
"361",54909.9271798825
"362",81249.1393085376
"363",148550.740444489
"364",126940.912324497
"365",192600.100769747
"366",144513.618087882
"367",176859.983090197
"368",96987.9091038594
"369",370658.8401631
"370",38538.0095845772
"371",7218.86229657769
"372",5319.28748360414
"373",19549.2200013081
"374",8108.4124143805
"375",15214.4478668306
"376",14799.3207460906
"377",15164.307867387
"378",16027.487681523
"379",19079.2482276188
"380",8952.70153586484
"381",6585.93660367559
"382",6651.37967527893
"383",6120.29958402089
"384",69257.0563538221
"385",18802.5245121995
"386",23605.6141302167
"387",7687.80374209617
"388",12402.988177555
"389",14713.6639109276
"390",12096.3409190465
"391",16580.0522844498
"392",25325.1782519601
"393",5450.38972157479
"394",9248.68256628325
"395",7769.54254703833
"396",7924.92298594917
"397",3541.95018093507
"398",3163.29651759626
"399",25285.215085934
"400",8604.07572299943
"401",6125.6696762706
"402",19941.3996266161
"403",31672.9657134064
"404",39530.4444561639
"405",30784.0818459609
"406",12698.0992724682
"407",12353.4382774433
"408",11394.073283877
"409",12809.3088884462
"410",15330.7823700192
"411",24228.2052822576
"412",13825.4538838534
"413",12950.0269136559
"414",10300.6796433666
"415",9452.7658722324
"416",8665.8780160954
"417",12482.5402664443
"418",14274.985113513
"419",13484.3274275597
"420",14362.3310035995
"421",15801.1654107444
"422",8133.48895323691
"423",5896.05435629987
"424",8347.6459536067
"425",8781.55052804388
"426",706139.054892928
"427",1024103.65754132
"428",146017.479579037
"429",288988.357173694
"430",127223.242438671
"431",121012.787318716
"432",178878.366804504
"433",173876.966201214
"434",147086.713547652
"435",164287.963231153
"436",104731.153051657
"437",100493.204854066
"438",351375.635778225
"439",140473.530354209
"440",53473.6596210889
"441",91731.0264683167
"442",165269.004670247
"443",150056.558536308
"444",160407.773992389
"445",65859.6906313451
"446",277989.74177715
"447",48535.4256838242
"448",35820.2112910561
"449",46208.1262596908
"450",95609.1543778352
"451",36760.253028633
"452",83018.9153100025
"453",60777.474509347
"454",82462.2711306389
"455",160819.116728142
"456",135921.532334738
"457",93354.5785069282
"458",53660.1391165271
"459",111074.697340002
"460",163667.414962335
"461",161634.569373953
"462",190934.682133782
"463",418754.194550499
"464",158907.882340605
"465",5316.19006898582
"466",371309.607444558
"467",109077.346095972
"468",119183.760010424
"469",103475.857034715
"470",1935785.99455757
"471",178352.02539101
"472",375923.50858999
"473",539427.625203177
"474",511251.396639778
"475",426771.808264869
"476",297696.171408706
"477",89893.7753176477
"478",316606.92724678
"479",251858.279521621
"480",93196.1133138794
"481",155237.152578316
"482",86749.3801309764
"483",133218.316388334
"484",108814.095197448
"485",87171.6526744074
"486",363254.575723869
"487",243858.964807319
"488",461441.635981068
"489",85317.845662461
"490",71795.6979848566
"491",71166.4612893542
"492",115198.195479426
"493",375192.340327353
"494",797341.204454128
"495",545757.770835419
"496",137146.594707378
"497",373967.543229293
"498",143328.704921696
"499",75117.4750744408
"500",193750.382638821
"501",271052.230164773
"502",340685.11727045
"503",85505.9559711742
"504",309414.261981122
"505",229819.907236938
"506",83776.8015237766
"507",72790.7113368821
"508",144974.623405675
"509",1e+05
"510",56057.2266082875
"511",26957.2601203257
"512",11296.9972971944
"513",96376.9743789825
"514",14819.3464634836
"515",136713.876069998
"516",58656.148892347
"517",11932.5449516434
"518",30892.2179093373
"519",93839.1773673166
"520",113658.016840752
"521",16540.3839106305
"522",41093.5347227908
"523",79128.8037469967
"524",31562.8244638266
"525",108007.951044058
"526",38163.2395839135
"527",21393.8751992964
"528",53994.0529944989
"529",61246.4542319611
"530",59491.1780852048
"531",62433.0017294029
"532",41521.9077448195
"533",56715.0126772553
"534",57015.3340252961
"535",47331.6917722623
"536",90723.492288618
"537",104238.334416909
"538",1694093.93459375
"539",1179813.02266425
"540",210857.080650007
"541",296306.489867792
"542",1462859.78058709
"543",7128787.57465986
"544",8439567.33063389
"545",1210469.80442194
"546",1160177.83680213
"547",1260779.26690108
"548",562150.996211847
"549",1465602.66786238
"550",566403.904898072
"551",583362.333450529
"552",4044998.67256038
"553",4027699.42057334
"554",2014627.071523
"555",4608825.15837592
"556",1956744.23972552
"557",2747080.28459632
"558",1051100.38592801
"559",1005312.59262103
"560",627689.440789506
"561",1802238.22494415
"562",2460029.47538745
"563",729749.521696479
"564",214771.398445751
"565",657672.216676963
"566",1247699.44365479
"567",1244257.63172974
"568",303540.003160352
"569",128379.996150755
"570",233211.799938968
"571",143031.49895449
"572",390832.344082912
"573",578919.1177074
"574",5073583.08583031
"575",1362023.43406789
"576",1242863.2428373
"577",1190679.92390134
"578",353989.681680237
"579",1297237.40909117
"580",80828.2374829026
"581",143400.180385419
"582",244204.181818808
"583",72518.7529369872
"584",8215.99262604401
"585",10505.0948951298
"586",13140.3707413062
"587",16916.3624923145
"588",16595.9591676966
"589",12084.7416599345
"590",28438.3826058768
"591",45870.5284723351
"592",43832.426286162
"593",22322.8388956118
"594",16012.5492883293
"595",26461.4943369384
"596",17404.2244572121
"597",33568.6619283855
"598",34241.8833331889
"599",61636.9623959923
"600",50170.4006414501
"601",32792.2361328215
"602",29289.347508211
"603",26517.9725163646
"604",60063.6186243718
"605",98233.6392791384
"606",94607.7249910275
"607",55421.6545163746
"608",31228.4441535762
"609",52348.810953178
"610",64348.0797199022
"611",78069.2238552955
"612",50419.4227187688
"613",158384.626790003
"614",185376.028974812
"615",1198227.46687751
"616",88775.3205902189
"617",168706.63453742
"618",106394.527744897
"619",271111.461151341
"620",689089.879793855
"621",438798.040269233
"622",871841.938888182
"623",341576.754137238
"624",232089.534291571
"625",87147.6067495979
"626",475035.687093021
"627",244922.633465808
"628",423582.662113773
"629",353157.519686952
"630",236239.843377495
"631",179309.75736967
"632",259044.463376428
"633",235381.485544439
"634",188134.539978537
"635",164439.379576054
